City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,aioun,16.6614,-9.6149,306.18,49,38,6.49,MR,1723415943
295,villa gesell,-37.2639,-56.973,280.22,72,79,14.01,AR,1723415944
296,manistee,44.2445,-86.3242,294.12,64,100,2.06,US,1723415945
297,kazaure,12.6513,8.4162,298.22,78,31,3.97,NG,1723415946
298,ust'-ilimsk,58.0006,102.6619,288.43,94,95,4.3,RU,1723415675
299,tadine,-21.55,167.8833,294.94,67,97,7.43,NC,1723415948
300,guatrache,-37.6678,-63.5302,279.63,59,5,3.58,AR,1723415949
301,mount gambier,-37.8333,140.7667,284.4,68,23,4.95,AU,1723415679
302,nar'yan-mar,67.6713,53.087,287.17,69,98,3.7,RU,1723415952
303,kampong thom,12.7111,104.8887,298.16,97,100,1.83,KH,1723415953
304,yaren,-0.5472,166.916,301.66,74,100,4.18,NR,1723415954
305,den burg,53.0542,4.7972,292.13,72,0,7.2,NL,1723415955
306,nguigmi,14.2495,13.1092,300.63,70,98,5.25,NE,1723415956
307,lakkha nevre,43.6103,45.2454,297.3,60,9,2.11,RU,1723415957
308,praia da vitoria,38.7333,-27.0667,295.29,68,20,3.44,PT,1723415958
309,yanbu,24.0891,38.0637,310.17,15,0,5.14,SA,1723415959
310,fairmont,39.4851,-80.1426,297.82,50,96,0.89,US,1723415961
311,alofi,-19.0595,-169.9187,297.09,60,40,4.63,NU,1723415962
312,haiku-pauwela,20.9219,-156.3051,303.24,70,20,9.26,US,1723415963
313,nampula,-15.1165,39.2666,292.12,94,0,3.6,MZ,1723415964
314,saryozek,44.3583,77.9753,291.19,44,69,1.24,KZ,1723415965
315,karoi,-16.8099,29.6925,288.51,32,0,1.18,ZW,1723415966
316,atlanta,33.749,-84.388,306.25,46,0,5.14,US,1723415936
317,vila velha,-20.3297,-40.2925,294.12,77,40,1.54,BR,1723415879
318,mpika,-11.8343,31.4529,287.02,47,3,2.04,ZM,1723415969
319,tsiombe,-25.3,45.4833,292.39,74,0,1.77,MG,1723415971
320,gadzhiyevo,69.2551,33.3362,284.22,79,16,2.13,RU,1723415972
321,xingtai,37.0631,114.4942,298.65,60,0,2.11,CN,1723415973
322,anadyr,64.75,177.4833,284.43,62,20,9.83,RU,1723415974
323,manaure,11.7751,-72.4445,301.96,74,100,5.54,CO,1723415975
324,puerto asis,0.5133,-76.5007,297.57,86,72,1.33,CO,1723415976
325,beroroha,-21.6667,45.1667,290.69,53,0,0.62,MG,1723415977
326,arno,60.1167,18.6333,286.58,63,62,7.16,SE,1723415978
327,warsaw,52.2298,21.0118,291.84,60,0,9.83,PL,1723415979
328,znin,52.8496,17.7199,287.09,76,32,2.02,PL,1723415981
329,inongo,-1.95,18.2667,294.84,77,68,2.47,CD,1723415982
330,fale old settlement,-9.3852,-171.2468,301.13,77,16,7.89,TK,1723415765
331,pollock pines,38.7613,-120.5866,302.54,24,95,1.34,US,1723415984
332,pandaria,22.2333,81.4167,298.47,88,98,2.16,IN,1723415985
333,vernon,50.2581,-119.2691,304.89,23,25,2.57,CA,1723415986
334,kisaran,2.9845,99.6158,296.37,100,100,0.92,ID,1723415987
335,zin'kiv,50.2081,34.3638,288.16,59,10,3.7,UA,1723415988
336,hasaki,35.7333,140.8333,302.01,82,63,7.89,JP,1723415953
337,ubatuba,-23.4339,-45.0711,286.7,65,64,2.25,BR,1723415991
338,puerto san jose,13.9256,-90.8244,302.66,78,96,4.84,GT,1723415992
339,baruun-urt,46.6806,113.2792,291.0,61,0,0.85,MN,1723415993
340,pandan,14.0453,124.1694,301.39,83,98,2.8,PH,1723415995
341,kiunga,-6.1219,141.2906,296.68,98,100,1.06,PG,1723415996
342,brigantine,39.4101,-74.3646,301.26,55,0,5.14,US,1723415997
343,fisterra,42.9049,-9.2629,291.6,94,50,2.13,ES,1723415998
344,holualoa,19.6228,-155.9522,301.79,75,0,6.69,US,1723415791
345,natal,-5.795,-35.2094,298.27,83,40,3.6,BR,1723416003
346,amal,59.051,12.7049,287.98,66,7,3.35,SE,1723416004
347,tuy hoa,13.0833,109.3,299.54,83,86,2.35,VN,1723416005
348,belabo,4.9333,13.3,293.63,100,100,0.92,CM,1723416006
349,smithers,54.7804,-127.1743,301.33,34,20,3.6,CA,1723416007
350,mount pearl,47.5166,-52.7813,292.22,89,75,3.09,CA,1723415906
351,korla,41.7597,86.1469,297.96,38,35,4.94,CN,1723416010
352,kikwit,-5.041,18.8162,300.59,36,60,0.9,CD,1723416011
353,fort bragg,35.139,-79.006,303.0,66,100,2.57,US,1723416012
354,santana,-0.0583,-51.1817,299.25,89,75,2.57,BR,1723416013
355,amos,48.5669,-78.1162,287.95,76,100,3.13,CA,1723416014
356,bunia,1.5667,30.25,290.44,91,65,1.12,CD,1723416015
357,fallon,39.4735,-118.7774,307.1,14,72,1.34,US,1723416016
358,okha,53.5739,142.9478,286.42,88,100,7.5,RU,1723416018
359,kemijarvi,66.7131,27.4306,285.91,88,98,3.38,FI,1723416019
360,muisne,0.6,-80.0333,297.47,84,82,5.25,EC,1723416020
361,fier,40.7239,19.5561,297.37,55,0,1.43,AL,1723416021
362,mooloolaba,-26.6833,153.1167,290.4,99,100,0.89,AU,1723416022
363,laguna,38.421,-121.4238,306.25,30,0,5.14,US,1723416023
364,markovo,57.3206,107.0881,291.85,93,73,1.89,RU,1723416024
